freq,indic_de,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,GDIVRT,AL	: 	: 	: 	1.5 	1.3 	1.9 	1.6 	1.7 	2.1 	1.5 	1.1 	: 
A,GDIVRT,AM	1.0 	: 	: 	: 	1.2 	1.2 	: 	1.3 	1.3 	1.1 	: 	: 
A,GDIVRT,AT	2.1 	2.0 	1.9 	1.9 	1.9 	1.8 	1.8 	1.8 	1.8 	1.7 	: 	: 
A,GDIVRT,AZ	1.2 	1.2 	1.2 	1.3 	1.3 	1.3 	1.5 	1.5 	1.7 	1.4 	: 	: 
A,GDIVRT,BA	: 	0.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,GDIVRT,BE	2.5 	2.3 	2.2 	2.2 	2.2 	2.1 	2.0 	2.0 	2.0 	1.8 	1.9 	1.7 
A,GDIVRT,BG	1.4 	1.6 	1.5 	1.5 	1.5 	1.5 	1.5 	1.5 	1.6 	1.3 	1.5 	1.4 
A,GDIVRT,BY	4.1 	4.1 	3.8 	3.7 	3.5 	3.4 	3.4 	3.5 	: 	: 	: 	: 
A,GDIVRT,CH	2.2 b	2.2 	2.1 	2.0 	2.1 	2.0 	1.9 	1.9 	2.0 	1.9 	2.0 	1.8 
A,GDIVRT,CY	2.3 	2.4 	2.2 	2.2 	2.1 	2.3 	2.2 	2.4 	2.6 	: 	: 	: 
A,GDIVRT,CZ	2.7 	2.5 	2.7 	2.5 	2.5 	2.4 	2.4 	2.3 	2.3 	2.0 	2.0 b	1.9 
A,GDIVRT,DE	2.3 	2.2 	2.1 	2.1 	2.0 	2.0 	1.9 	1.8 	1.8 	1.7 	1.7 	: 
A,GDIVRT,DK	2.6 	2.8 	3.4 	3.4 	2.9 	3.0 	2.6 	2.6 	1.8 	2.7 	2.2 	: 
A,GDIVRT,EA19	1.9 	1.9 	1.8 	1.8 	1.9 	1.9 	: 	: 	: 	: 	1.7 e	1.6 e
A,GDIVRT,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.7 e	1.6 e
A,GDIVRT,EE	2.3 	2.4 	2.5 	2.4 	2.6 	2.5 	2.5 	2.4 	2.1 	1.9 	1.9 	1.9 
A,GDIVRT,EL	1.1 	1.3 	1.5 	1.3 	1.4 	1.0 	1.8 	: 	: 	: 	: 	: 
A,GDIVRT,ES	2.2 	2.2 	2.0 	2.2 	2.1 	2.1 	2.1 	2.0 	1.9 	1.6 	1.8 	1.7 
A,GDIVRT,EU27_2020	1.9 	1.9 	1.8 	1.8 	1.9 	1.9 	1.9 e	1.8 e	1.8 e	1.6 e	1.7 e	1.6 e
A,GDIVRT,FI	2.5 	2.4 	2.5 	2.5 	2.5 	2.5 	2.4 	2.4 	2.4 	2.4 	2.2 	2.0 
A,GDIVRT,FR	2.0 	2.0 	1.9 	1.9 	1.9 	1.9 	: 	: 	: 	: 	: 	: 
A,GDIVRT,FX	2.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,GDIVRT,GE	1.3 	: 	: 	2.2 	2.4 	2.6 	2.7 	2.8 	3.0 	2.1 	: 	: 
A,GDIVRT,HR	1.3 	1.3 	1.4 	1.4 	1.4 	1.7 	1.5 	1.5 	1.5 	1.3 	1.3 	1.2 
A,GDIVRT,HU	2.3 	2.2 b	2.0 	2.0 	2.1 	2.0 	1.9 	1.7 	1.8 	1.5 	1.9 	1.8 
A,GDIVRT,IE	0.6 	0.6 	0.6 	0.6 	0.7 	0.7 	0.7 	: 	: 	: 	: 	: 
A,GDIVRT,IS	1.6 	: 	: 	: 	: 	: 	: 	: 	: 	1.9 	: 	: 
A,GDIVRT,IT	0.9 	0.9 	0.9 	0.9 	1.4 	1.6 	1.5 	1.5 	1.4 	1.1 	1.4 	1.4 
A,GDIVRT,LI	2.5 	2.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,GDIVRT,LT	3.4 	3.5 	3.4 	3.3 	3.2 	3.1 	3.0 	3.1 	3.1 	2.7 	2.8 	2.6 
A,GDIVRT,LU	2.3 	2.0 	2.1 	2.6 	2.4 	2.1 	2.0 	2.0 	3.1 	2.3 	2.2 	1.9 
A,GDIVRT,LV	4.0 	3.6 	3.5 	3.1 	2.6 	3.1 	3.1 	3.1 	3.1 	2.7 	2.5 	2.9 
A,GDIVRT,MD	3.1 	3.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,GDIVRT,ME	0.8 	0.8 	0.8 	0.9 	0.9 	1.1 	1.2 	1.4 	1.4 	1.3 	1.2 	: 
A,GDIVRT,MK	0.9 	0.9 	1.0 	1.1 	1.0 	1.0 	1.0 	0.8 	1.0 	0.8 	1.0 	: 
A,GDIVRT,MT	0.1 	1.1 	0.8 	0.7 	0.8 	0.8 	0.7 	0.7 	0.7 	0.5 	0.6 p	0.9 
A,GDIVRT,NL	2.0 	2.1 	2.0 	2.1 	2.0 	2.0 	1.9 	1.8 	1.7 	1.7 	1.5 	1.3 
A,GDIVRT,NO	2.1 	2.0 	2.0 	1.9 	1.9 	1.9 	2.0 	1.9 	1.9 	1.8 	: 	: 
A,GDIVRT,PL	1.7 b	1.7 	1.7 	1.7 	1.8 	1.7 	1.7 	1.7 	1.7 	1.4 ep	1.6 ep	1.6 
A,GDIVRT,PT	2.5 	2.4 	2.2 	2.1 	2.3 	2.2 	2.1 	2.0 	2.0 	1.7 	1.7 bp	1.8 bp
A,GDIVRT,RO	1.8 	1.6 	1.4 	1.4 	1.6 	1.5 	1.6 	1.6 	1.6 	1.2 e	1.4 e	1.2 e
A,GDIVRT,RS	1.1 b	1.0 	1.1 	1.1 	1.3 	1.3 	1.3 	1.4 	1.6 	1.3 	1.4 	1.5 
A,GDIVRT,RU	4.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,GDIVRT,SE	2.5 	2.5 	2.8 	2.7 	2.5 	2.4 	2.4 	2.5 	2.5 	2.5 	2.3 	2.1 
A,GDIVRT,SI	1.1 	1.2 	1.1 	1.2 	1.2 	1.2 	1.2 	1.1 	1.2 	0.8 	1.1 	1.0 
A,GDIVRT,SK	2.1 	2.0 	2.0 	1.9 	1.8 	1.7 	1.8 	1.8 	1.7 	1.5 	1.5 	1.5 
A,GDIVRT,SM	2.5 	1.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,GDIVRT,TR	1.6 	1.6 	1.6 	1.7 	1.7 	1.6 	1.6 	1.7 	1.9 	1.6 	: 	2.1 
A,GDIVRT,UA	1.4 	1.1 	: 	: 	3.0 	3.1 	3.0 	3.7 	3.3 	2.9 	2.9 	: 
A,GDIVRT,UK	2.1 	2.0 	2.0 	1.9 	1.7 	1.8 	: 	: 	: 	: 	: 	: 
A,GDIVRT,XK	0.8 	0.7 	: 	: 	0.7 	0.6 	0.6 	0.6 	0.5 	: 	: 	: 
